"","Protein","Function","LFC_LP1hvRM1h","padj_LP1hvRM1h","Score_LP1hvRM1h","LFC_LP2hvRM2h","padj_LP2hvRM2h","Score_LP2hvRM2h","LFC_LP24hvRM24h","padj_LP24hvRM24h","Score_LP24hvRM24h","LFC_LP49hvRM49h","padj_LP49hvRM49h","Score_LP49hvRM49h"
"CMA001C","Similar to trefoil factor","nan",2.31792334146297,1.11603048684009e-24,127.838720176752,1.26065561668791,6.56639926914513e-09,23.7523909368697,4.12797826593666,1.70326206827225e-66,625.13306515174,1.30465949763041,1.47182083680123e-06,17.5202857784349
"CMA004C","Mitochondrial pyruvate carrier","Mediates the uptake of pyruvate into mitochondria. {ECO:0000256|RuleBase:RU363100}.",-0.0825097731944338,0.380309184061668,0.0797680324109501,0.293908641118071,0.000263210260340869,2.42255883778106,-4.01675885233828e-05,1,0,0.286721825501221,0.00020945754976653,2.42881756336306
"CMA005C","Calcium-binding mitochondrial carrier Aralar","nan",0.0632590813616006,0.435619175496841,0.0525674658937872,-0.0835213734662517,0.263753925040678,0.11131216775065,-0.215995220312724,0.000988436456858753,1.49455434665646,-0.0622684849142022,0.371405046896179,0.0616745706775983
"CMA007C","Serine O-acetyltransferase (EC 2.3.1.30)","nan",0.602112593230773,2.00653868238997e-29,39.7867310158267,0.204541666172807,5.12564640284061e-05,2.02059938011762,0.221563349789932,3.87944749407235e-06,2.7606389723992,0.201770588372401,2.64790026627635e-05,2.1264922097593
"CMA008C","ORF1050","nan",0.982340647598236,0.115737786910595,2.11834698041236,0.642736814473362,0.382250684559395,0.618106267745757,-0.597477662463428,0.24293219535487,0.845414704349594,-1.87534293605691,0.00216386081206598,11.506844032711
"CMA009C","NAD-dependent sorbitol dehydrogenase","nan",1.68375949579311,7.0022064008626e-160,617.042947103052,0.437815027801515,3.11322211484046e-14,13.6162807472982,0.60090978367565,1.18804555776151e-25,34.4876052476196,0.152656542116862,0.0108138789861629,0.691064698384326
"CMA010C","Uncharacterized protein","nan",0.974837769348638,3.55967165079855e-49,108.749978252818,0.25031095597891,6.40889969195286e-05,2.41681181986491,-0.646416931137842,3.92884083005243e-29,42.2799486894025,-0.31660222033788,4.9158467661055e-08,5.32785077888479
"CMA011C","Probable aminoacylase I","nan",0.728201900129543,4.80161225956381e-08,12.2714610746467,0.479715572433289,0.000104146787949189,4.39885231296635,0.055754373542864,0.670693654625382,0.0222706828987349,0.431256318180959,0.000353796203179001,3.42710318451112
"CMA013C","Polyketide_cyc domain-containing protein","nan",0.020326022179794,0.805151735637385,0.00440514756000171,-0.158271567756553,0.0222321400662319,0.602415818861683,-0.426897184439178,3.71955644526278e-11,10.2518639934989,-0.547998701655667,1.67871908077353e-17,21.1669515608212
"CMA015C","Uncharacterized protein","nan",-0.0558605378840658,0.420870119468964,0.0483434410342651,-0.231674909956779,8.29389872487982e-05,2.17714302991802,-0.0761029486191419,0.222498101053242,0.114370305076633,-0.108597521565009,0.078254280939325,0.27668386870674
"CMA016C","Similar to transcription factor IIA large subunit","nan",-0.118246638749749,0.212385201128648,0.183205863307364,-0.0672373496265797,0.468904090744771,0.0509226793371828,-0.103972003014914,0.21395170583427,0.160325344672452,-0.150343891781345,0.0683139425308709,0.403469091713746
"CMA017C","Probable lysophosphatidic acid acyltransferase","nan",0.221719603211452,0.000573648838170748,1.65480273514412,0.142517718481585,0.017643590085056,0.57539857525239,0.879990018278929,1.6664874239136e-58,117.073183282406,1.3252857427798,9.35575699757868e-133,402.89723681899
