Pathway,Decription,Pvalue,Genes,"k,T,m,q"
cme00970,Aminoacyl-tRNA biosynthesis,1.0,[],-1 1449 50 108
cme02010,ABC transporters,1.0,[],-1 1449 50 8
cme03008,Ribosome biogenesis in eukaryotes,1.0,[],-1 1449 50 70
cme03010,Ribosome,1.6988174961138362e-08,"['CYME_CMO287C', 'CYME_CMK273C', 'CYME_CMG118C', 'CYME_CMA082C', 'CYME_CMH218C', 'CYME_CMO310C', 'CYME_CMH071C', 'CYME_CMP012C', 'CYME_CMR150C', 'CYME_CMT627C', 'CYME_CML305C', 'CYME_CMG109C', 'CYME_CML304C', 'CYME_CMR148C', 'CYME_CMK118C', 'CYME_CMG057C', 'CYME_CMD140C', 'CYME_CMT159C', 'CYME_CMR287C']",18 1449 50 134
cme03013,RNA transport,1.0,[],-1 1449 50 61
cme03015,mRNA surveillance pathway,1.0,[],-1 1449 50 36
cme03018,RNA degradation,1.0,[],-1 1449 50 46
cme03020,RNA polymerase,1.0,[],-1 1449 50 24
cme03022,Basal transcription factors,1.0,[],-1 1449 50 24
cme03030,DNA replication,1.0,[],-1 1449 50 32
cme03040,Spliceosome,0.791730489581574,['CYME_CML202C'],0 1449 50 44
cme03050,Proteasome,1.0,[],-1 1449 50 38
cme03060,Protein export,1.0,[],-1 1449 50 23
cme03410,Base excision repair,1.0,[],-1 1449 50 23
cme03420,Nucleotide excision repair,1.0,[],-1 1449 50 41
cme03430,Mismatch repair,1.0,[],-1 1449 50 20
cme03440,Homologous recombination,1.0,[],-1 1449 50 19
cme03450,Non-homologous end-joining,1.0,[],-1 1449 50 4
cme04016,MAPK signaling pathway - plant,1.0,[],-1 1449 50 6
cme04070,Phosphatidylinositol signaling system,1.0,[],-1 1449 50 15
cme04120,Ubiquitin mediated proteolysis,1.0,[],-1 1449 50 46
cme04122,Sulfur relay system,1.0,[],-1 1449 50 8
cme04130,SNARE interactions in vesicular transport,1.0,[],-1 1449 50 15
cme04136,Autophagy - other,1.0,[],-1 1449 50 4
cme04141,Protein processing in endoplasmic reticulum,1.0,[],-1 1449 50 58
cme04144,Endocytosis,1.0,[],-1 1449 50 30
cme04145,Phagosome,1.0,[],-1 1449 50 22
cme04146,Peroxisome,0.08164217449910291,"['CYME_CMT028C', 'CYME_CMG206C', 'CYME_CMT459C']",2 1449 50 30
cme04712,Circadian rhythm - plant,1.0,[],-1 1449 50 6
cme00010,Glycolysis / Gluconeogenesis,0.48874653472232465,"['CymeCp128', 'CYME_CMN233C']",1 1449 50 47
