Pathway,Decription,Pvalue,Genes,"k,T,m,q"
cme00970,Aminoacyl-tRNA biosynthesis,0.6863313077623351,"['CYME_CMS024C', 'CYME_CME037C']",1 1449 31 108
cme02010,ABC transporters,1.0,[],-1 1449 31 8
cme03008,Ribosome biogenesis in eukaryotes,1.0,[],-1 1449 31 70
cme03010,Ribosome,0.797800821747233,"['CYME_CMG057C', 'CYME_CMA082C']",1 1449 31 134
cme03013,RNA transport,1.0,[],-1 1449 31 61
cme03015,mRNA surveillance pathway,0.5453418711854896,['CYME_CMS430C'],0 1449 31 36
cme03018,RNA degradation,1.0,[],-1 1449 31 46
cme03020,RNA polymerase,1.0,[],-1 1449 31 24
cme03022,Basal transcription factors,1.0,[],-1 1449 31 24
cme03030,DNA replication,1.0,[],-1 1449 31 32
cme03040,Spliceosome,1.0,[],-1 1449 31 44
cme03050,Proteasome,1.0,[],-1 1449 31 38
cme03060,Protein export,1.0,[],-1 1449 31 23
cme03410,Base excision repair,1.0,[],-1 1449 31 23
cme03420,Nucleotide excision repair,1.0,[],-1 1449 31 41
cme03430,Mismatch repair,1.0,[],-1 1449 31 20
cme03440,Homologous recombination,1.0,[],-1 1449 31 19
cme03450,Non-homologous end-joining,1.0,[],-1 1449 31 4
cme04016,MAPK signaling pathway - plant,0.12189078670260539,['CYME_CMI050C'],0 1449 31 6
cme04070,Phosphatidylinositol signaling system,1.0,[],-1 1449 31 15
cme04120,Ubiquitin mediated proteolysis,1.0,[],-1 1449 31 46
cme04122,Sulfur relay system,1.0,[],-1 1449 31 8
cme04130,SNARE interactions in vesicular transport,1.0,[],-1 1449 31 15
cme04136,Autophagy - other,1.0,[],-1 1449 31 4
cme04141,Protein processing in endoplasmic reticulum,1.0,[],-1 1449 31 58
cme04144,Endocytosis,1.0,[],-1 1449 31 30
cme04145,Phagosome,1.0,[],-1 1449 31 22
cme04146,Peroxisome,2.3968202876196303e-05,"['CYME_CMN023C', 'CYME_CMG206C', 'CYME_CMT216C', 'CYME_CMI050C', 'CYME_CMT028C', 'CYME_CMT459C']",5 1449 31 30
cme04712,Circadian rhythm - plant,1.0,[],-1 1449 31 6
cme00010,Glycolysis / Gluconeogenesis,1.0,[],-1 1449 31 47
cme00020,Citrate cycle (TCA cycle),0.4452680485717282,['CYME_CMT216C'],0 1449 31 27
cme00030,Pentose phosphate pathway,1.0,[],-1 1449 31 33
cme00040,Pentose and glucuronate interconversions,1.0,[],-1 1449 31 10
cme00051,Fructose and mannose metabolism,1.0,[],-1 1449 31 15
cme00052,Galactose metabolism,1.0,[],-1 1449 31 11
cme00053,Ascorbate and aldarate metabolism,1.0,[],-1 1449 31 11
cme00061,Fatty acid biosynthesis,0.278186497949396,['CYME_CMT459C'],0 1449 31 15
cme00062,Fatty acid elongation,1.0,[],-1 1449 31 7
cme00071,Fatty acid degradation,0.021611585784226946,"['CYME_CML080C', 'CYME_CMT459C']",1 1449 31 11
cme00072,Synthesis and degradation of ketone bodies,1.0,[],-1 1449 31 4
cme00100,Steroid biosynthesis,1.0,[],-1 1449 31 11
cme00130,Ubiquinone and other terpenoid-quinone biosynthesis,1.0,[],-1 1449 31 13
cme00190,Oxidative phosphorylation,1.0,[],-1 1449 31 67
cme00195,Photosynthesis,0.01984797333941656,"['CYME_CMI290C', 'CYME_CMP086C', 'CYME_CMT182C', 'CYME_CMC133C']",3 1449 31 50
cme00196,Photosynthesis - antenna proteins,0.011451400551855713,"['CYME_CMP166C', 'CYME_CMQ142C']",1 1449 31 8
cme00220,Arginine biosynthesis,1.0,[],-1 1449 31 14
cme00230,Purine metabolism,1.0,[],-1 1449 31 49
