Pathway,Decription,Pvalue,Genes,"k,T,m,q"
cme00970,Aminoacyl-tRNA biosynthesis,1.0,[],-1 1449 18 108
cme02010,ABC transporters,1.0,[],-1 1449 18 8
cme03008,Ribosome biogenesis in eukaryotes,1.0,[],-1 1449 18 70
cme03010,Ribosome,0.020027054364068365,"['CYME_CMG057C', 'CYME_CMD140C', 'CYME_CMT159C', 'CYME_CMK118C', 'CYME_CMR287C']",4 1449 18 134
cme03013,RNA transport,1.0,[],-1 1449 18 61
cme03015,mRNA surveillance pathway,0.36591128497208814,['CYME_CMS430C'],0 1449 18 36
cme03018,RNA degradation,1.0,[],-1 1449 18 46
cme03020,RNA polymerase,1.0,[],-1 1449 18 24
cme03022,Basal transcription factors,1.0,[],-1 1449 18 24
cme03030,DNA replication,1.0,[],-1 1449 18 32
cme03040,Spliceosome,1.0,[],-1 1449 18 44
cme03050,Proteasome,1.0,[],-1 1449 18 38
cme03060,Protein export,1.0,[],-1 1449 18 23
cme03410,Base excision repair,1.0,[],-1 1449 18 23
cme03420,Nucleotide excision repair,1.0,[],-1 1449 18 41
cme03430,Mismatch repair,1.0,[],-1 1449 18 20
cme03440,Homologous recombination,1.0,[],-1 1449 18 19
cme03450,Non-homologous end-joining,1.0,[],-1 1449 18 4
cme04016,MAPK signaling pathway - plant,1.0,[],-1 1449 18 6
cme04070,Phosphatidylinositol signaling system,1.0,[],-1 1449 18 15
cme04120,Ubiquitin mediated proteolysis,1.0,[],-1 1449 18 46
cme04122,Sulfur relay system,1.0,[],-1 1449 18 8
cme04130,SNARE interactions in vesicular transport,1.0,[],-1 1449 18 15
cme04136,Autophagy - other,1.0,[],-1 1449 18 4
cme04141,Protein processing in endoplasmic reticulum,1.0,[],-1 1449 18 58
cme04144,Endocytosis,1.0,[],-1 1449 18 30
cme04145,Phagosome,1.0,[],-1 1449 18 22
cme04146,Peroxisome,0.051634091018471245,"['CYME_CMA068C', 'CYME_CMT459C']",1 1449 18 30
cme04712,Circadian rhythm - plant,1.0,[],-1 1449 18 6
cme00010,Glycolysis / Gluconeogenesis,0.4495938094074747,['CYME_CMF012C'],0 1449 18 47
cme00020,Citrate cycle (TCA cycle),1.0,[],-1 1449 18 27
cme00030,Pentose phosphate pathway,0.34108388231236436,['CYME_CMT633C'],0 1449 18 33
cme00040,Pentose and glucuronate interconversions,0.11785072793005832,['CYME_CMT633C'],0 1449 18 10
cme00051,Fructose and mannose metabolism,1.0,[],-1 1449 18 15
cme00052,Galactose metabolism,1.0,[],-1 1449 18 11
cme00053,Ascorbate and aldarate metabolism,1.0,[],-1 1449 18 11
cme00061,Fatty acid biosynthesis,0.17173332152568474,['CYME_CMT459C'],0 1449 18 15
cme00062,Fatty acid elongation,1.0,[],-1 1449 18 7
